City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,sosua,19.7667,-70.5167,94.98,70,75,13.8,DO,1690838338
318,borovichi,58.3878,33.9155,58.98,93,50,3.67,RU,1690838338
319,chetwayi,10.5333,76.05,77.88,87,90,5.66,IN,1690838339
320,gedo,9.0167,37.45,51.31,98,100,2.1,ET,1690838339
321,shahrak,34.1074,64.3052,57.43,32,0,3.94,AF,1690838339
322,asau,46.4333,26.4,61.72,93,100,2.8,RO,1690838340
323,sarina,-21.4333,149.2167,62.62,1,5,5.55,AU,1690838340
324,sena madureira,-9.0656,-68.6569,95.72,25,1,1.95,BR,1690838341
325,tolstoy-yurt,43.4444,45.7722,71.92,78,0,4.47,RU,1690838219
326,krasnovishersk,60.4078,57.082,61.12,69,98,4.18,RU,1690838342
327,anadyr,64.75,177.4833,61.3,67,0,8.95,RU,1690838342
328,vilyuchinsk,52.9306,158.4028,52.07,97,100,1.32,RU,1690838343
329,crockett,31.3182,-95.4566,102.18,27,20,0.0,US,1690838343
330,borogontsy,62.6683,131.1683,49.05,96,98,5.88,RU,1690838343
331,laguna,38.421,-121.4238,100.18,27,0,6.91,US,1690838234
332,ikungi,-5.1333,34.7667,64.06,49,11,8.99,TZ,1690838344
333,berehomet,48.1788,25.3486,59.59,93,98,3.96,UA,1690838345
334,prado,-17.3411,-39.2208,71.1,74,98,6.55,BR,1690838345
335,humberto de campos,-2.5983,-43.4611,79.65,79,46,7.67,BR,1690838345
336,bhamo,24.2667,97.2333,76.19,100,100,0.29,MM,1690838346
337,galliano,29.4422,-90.2992,99.0,49,0,4.61,US,1690838346
338,siuri,23.9167,87.5333,89.89,66,81,4.0,IN,1690838347
339,coahuayana de hidalgo,18.7,-103.6583,92.52,53,86,6.11,MX,1690838075
340,emerald,-23.5333,148.1667,56.3,89,61,2.44,AU,1690838347
341,maslyanino,54.3436,84.2111,65.59,76,80,1.16,RU,1690838348
342,knyaze-volkonskoye,48.4642,135.4567,70.14,78,100,13.96,RU,1690838348
